Churn,customer_SeniorCitizen,customer_tenure,account_Charges_Monthly,account_Charges_Total,check_total,diff_total,account_Charges_day,churn_bin,customer_gender_Male,customer_Partner_Yes,customer_Dependents_Yes,phone_PhoneService_Yes,phone_MultipleLines_No phone service,phone_MultipleLines_Yes,internet_InternetService_Fiber optic,internet_InternetService_No,internet_OnlineSecurity_No internet service,internet_OnlineSecurity_Yes,internet_OnlineBackup_No internet service,internet_OnlineBackup_Yes,internet_DeviceProtection_No internet service,internet_DeviceProtection_Yes,internet_TechSupport_No internet service,internet_TechSupport_Yes,internet_StreamingTV_No internet service,internet_StreamingTV_Yes,internet_StreamingMovies_No internet service,internet_StreamingMovies_Yes,account_Contract_One year,account_Contract_Two year,account_PaperlessBilling_Yes,account_PaymentMethod_Credit Card Automatic,account_PaymentMethod_Electronic Check,account_PaymentMethod_Mailed Check
No,0,1.5729808767233588,1.0299255301840309,2.016451266200112,1.9953771883406315,0.7589071351368937,1.0299255301840313,0.0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0
No,0,0.06632741908223598,-0.11671439993059413,-0.12746267609432158,-0.08702820699498151,-1.331184625072914,-0.11671439993059396,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1
No,1,-1.2774445836787656,0.2438955491054544,-0.975589416043631,-0.9747910881448975,-0.002276158097219693,0.24389554910545486,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Yes,1,0.5142514200025698,-0.06852228692577646,0.22497060509954322,0.2393032539927761,-0.448717972310779,-0.06852228692577594,1.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
Yes,1,-1.2774445836787656,-1.3181936310507012,-0.9963389641033976,-0.9955455924296399,-0.002276158097219693,-1.3181936310507008,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
No,1,0.7178532386027215,-1.3148700370503688,-0.43071511358908016,-0.4502320319779729,0.686732375172373,-1.3148700370503685,0.0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
Yes,0,-0.7888002190384014,0.9750862291785486,-0.4707573265469701,-0.46643820872797387,-0.11686289041203392,0.9750862291785486,1.0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
No,0,-0.38159658183809786,0.6310942501441613,-0.19070464970201434,-0.15602589411181117,-1.1377265055803716,0.6310942501441614,0.0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
No,0,-1.1960038562387048,-1.4926823160681442,-0.982167464258323,-0.9803329823741211,-0.03724743354394853,-1.4926823160681437,0.0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
Yes,0,-1.1552834925186746,-1.4760643460664828,-0.9737131271233329,-0.9706843458077037,-0.07742719682316901,-1.4760643460664824,1.0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
Yes,0,-1.2774445836787656,-1.1387195550327598,-0.9939549734752542,-0.9931610323628822,-0.002276158097219693,-1.1387195550327596,1.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,0,0.9214550572028734,1.2941512532104444,1.4899204471898866,1.511951793325276,-0.6979813185800162,1.2941512532104444,0.0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
No,0,0.880734693482843,-1.4744025490663168,-0.52594229479103,-0.5201791272695302,-0.16597148997552477,-1.4744025490663164,0.0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
No,0,-0.2594354906780068,-1.5009913010689746,-0.7991078875991271,-0.7815975642177744,-0.5640487743159485,-1.5009913010689742,0.0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
No,0,1.4915401492832983,-1.4976677070686424,-0.3907170486057854,-0.4063826218614853,0.5572642490504434,-1.497667707068642,0.0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
No,0,0.18848851024232702,0.8787020031689138,0.4263074432411718,0.48345570971690494,-1.8899809625302186,0.8787020031689139,0.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
No,0,0.6771328748826912,-1.4727407520661506,-0.6096910025982155,-0.5641389336854047,-1.5075291416872703,-1.4727407520661502,0.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
No,0,1.369379058123207,1.6963061272506461,2.4988782585896847,2.3683179669295495,4.452469078063738,1.6963061272506463,0.0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0
No,0,1.4100994218432374,-1.4694171580658184,-0.41433621501424306,-0.398632801644523,-0.500058780945339,-1.469417158065818,0.0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
No,0,-0.5037576729981889,-0.84291968900319,-0.6430227234176277,-0.6586602452204919,0.5542879702890172,-0.8429196890031897,0.0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
No,0,0.43281069256250915,-1.3181936310507012,-0.5349705555957582,-0.5300264771748441,-0.13844091143235326,-1.3181936310507008,0.0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
No,0,0.9214550572028734,0.8321716871642622,1.1821428422991154,1.174359909800052,0.3042805543294298,0.8321716871642623,0.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
No,0,1.0843365120829946,0.9966895901807084,1.463828994204095,1.4619422697029978,0.10784615607545285,0.9966895901807085,0.0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
No,0,-0.8295205827584317,-1.477726143066649,-0.908307902760473,-0.8990592267654652,-0.28651077981318607,-1.4777261430666484,0.0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
No,0,-0.21871512695797646,0.3652067301175816,-0.1558056757844708,-0.1034772556036337,-1.732238188174762,0.36520673011758176,0.0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Yes,1,-1.2367242199587352,-0.5155456799704636,-0.9672013008705339,-0.9631332389296379,-0.11239847226989774,-0.5155456799704634,1.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
No,0,-0.21871512695797646,0.44663478312572175,-0.0896057878788965,-0.07426639478585265,-0.4851773871382237,0.44663478312572213,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1
No,0,-0.30015585439803716,-1.304899255049372,-0.7290229779291709,-0.7251188174514223,-0.10495777536633799,-1.3048992550493717,0.0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
No,0,-0.30015585439803716,-0.10508182092943122,-0.2961962349973595,-0.3265881766646141,1.054302802208204,-0.1050818209294315,0.0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
No,0,-0.13727439951791576,-0.6567984249845842,-0.45890359536814596,-0.43036069808832594,-0.9331073407324902,-0.6567984249845837,0.0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
No,0,1.6137012404433893,0.677624566148813,1.7810542656582495,1.7006411482374124,2.7567342537425716,0.6776245661488131,0.0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
No,0,-0.748079855318371,-0.4424266119631542,-0.6860890726352922,-0.6885555630944719,0.11007836514652537,-0.44242661196315386,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
No,0,0.10704778280226633,1.1462513201956595,0.5518863569773547,0.5273271990932699,0.8645650311674413,1.1462513201956595,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
No,0,-1.2774445836787656,-0.6800635829869099,-0.9878625529811098,-0.9870671566367237,-0.002276158097219693,-0.6800635829869096,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
No,0,-0.13727439951791576,0.9784098231788811,0.14378247981888212,0.1996930617727466,-1.8505452689413595,0.9784098231788814,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
No,0,1.2879383306831464,0.5480044001358552,1.4505404538509254,1.289613646360004,5.467380135709241,0.548004400135855,0.0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
No,0,0.26992923768238775,1.1695164781979852,0.6558106891745685,0.7146917984127633,-1.9465302589972717,1.1695164781979852,0.0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
No,1,0.3106496014024181,0.8903345821700764,0.6143998890042258,0.6104556125316263,0.1703480100653552,0.8903345821700768,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
Yes,0,0.3106496014024181,1.3207400052131024,0.7747674067214642,0.83919674486134,-2.1325476815862547,1.3207400052131026,1.0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
Yes,1,-0.8702409464784621,1.0049985751815391,-0.5128303463362415,-0.5451728494507305,1.1182927955788133,1.0049985751815391,1.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
No,0,-1.0738427650786138,-0.47898614596680894,-0.8685526516374522,-0.8732264927089243,0.18299719480140725,-0.4789861459668083,0.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
No,0,-0.0965540357978854,-0.00869759491979612,-0.17370767948284385,-0.15216202363326872,-0.695005039818592,-0.008697594919795913,0.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
No,0,-0.21871512695797646,-1.5076384890696393,-0.7735241363211809,-0.775327054412597,0.08701220474549216,-1.5076384890696388,0.0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
No,1,1.5322605130033284,1.330710787214099,2.2193332834525736,2.2328396283219125,-0.40481786057978175,1.330710787214099,0.0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0
No,0,1.002895784642934,1.4835961112293827,1.753020301790267,1.7470075939799221,0.24921939724307998,1.483596111229383,0.0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
No,0,1.0436161483629645,-0.4806479429669752,0.2634014169847067,0.2816512744376015,-0.5804183075037709,-0.4806479429669751,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
No,0,-0.6666391278783103,0.22063039110312907,-0.4723025056578038,-0.5021624512095836,1.034956990258947,0.2206303911031295,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
No,0,1.4915401492832983,1.7029533152513108,2.605142433440447,2.527818540283783,2.659261124305955,1.7029533152513099,0.0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
Yes,0,-1.2774445836787656,-1.4926823160681442,-0.9986567327696481,-0.9978639147167654,-0.002276158097219693,-1.4926823160681437,1.0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
Yes,0,-1.2774445836787656,1.1628692901973208,-0.9633825010680449,-0.9625812574327033,-0.002276158097219693,1.162869290197321,1.0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
No,1,-0.015113308357824713,0.9701008381780505,0.2558521133289191,0.3209523570193477,-2.159334190439071,0.9701008381780507,0.0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
No,0,-0.6666391278783103,0.8654076271675846,-0.37071801611413807,-0.36509440589077446,-0.16001893245267593,0.8654076271675846,0.0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Yes,0,0.6771328748826912,0.6510358141461546,0.784700701005395,0.8185084783562296,-1.1005230210625716,0.6510358141461549,1.0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0
No,0,1.5729808767233588,-0.21642221994056152,0.822910773017582,0.8196565998698538,0.1487699890450291,-0.216422219940561,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
No,0,0.025607055362205634,1.422109622223236,0.6019943081429612,0.5606227229883672,1.4315461352186603,1.4221096222232361,0.0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
No,0,-0.9109613101984924,-1.4893587220678117,-0.9245322834242267,-0.9185331339773192,-0.17713253533086376,-1.4893587220678113,0.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
Yes,0,-0.46303730927815856,1.5434208032353631,0.015532613619686659,0.024560372425324904,-0.2716293860060725,1.543420803235363,1.0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
Yes,0,0.18848851024232702,-0.8163309370005319,-0.36780424979085174,-0.34981555805562364,-0.5766979590520013,-0.8163309370005315,1.0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,1,-0.2594354906780068,0.6992279271509723,-0.03896806101814692,-0.02154112219865605,-0.5551199380316719,0.6992279271509725,0.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
No,0,0.7178532386027215,-0.9758634490164798,-0.2353161780305124,-0.22502358122864086,-0.3162735674274217,-0.9758634490164795,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
Yes,0,-1.0331224013585834,0.3020584441112687,-0.7817135856085994,-0.7783519130157988,-0.08710010279779495,0.302058444111269,1.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
No,0,1.1657772395230555,0.7756705891586139,1.4325280802160643,1.36649362925306,2.26936860655945,0.7756705891586141,0.0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
Yes,0,-0.7073594915983407,1.2160467942026365,-0.32138265450394843,-0.3353094843161814,0.4992268132026793,1.2160467942026365,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
No,0,-0.2594354906780068,-0.6302096729819263,-0.5010428371193102,-0.48078972764827443,-0.6540812068490157,-0.6302096729819259,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
No,0,1.6137012404433893,0.9933659961803764,1.9713982581256617,2.0026854233600457,-1.0060261703873696,0.9933659961803761,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
No,0,0.47353105628253944,-1.4710789550659844,-0.6255180514906119,-0.608319532700053,-0.5521436592702542,-1.471078955065984,0.0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
No,0,1.369379058123207,0.8188773111629334,1.631260187856573,1.5988999187224202,1.1361504681473429,0.8188773111629334,0.0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Yes,0,-1.2367242199587352,0.7141841001524675,-0.9272253098745368,-0.9304559343111074,0.13388859523791596,0.7141841001524677,1.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
No,1,0.47353105628253944,0.33529438411459117,0.43535777803319764,0.4476873087155404,-0.3795194911076691,0.3352943841145917,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
Yes,0,-0.8295205827584317,0.830509890164096,-0.5428068210864148,-0.5310421231292038,-0.36835844575233695,0.8305098901640963,1.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
No,1,1.4915401492832983,1.5018758782312098,2.362946644810916,2.343478799567491,0.7075663265023369,1.50187587823121,0.0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
Yes,0,-1.2774445836787656,0.5131066631323666,-0.9720134301014159,-0.9712142480447611,-0.002276158097219693,0.5131066631323667,1.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Yes,0,-1.1960038562387048,-1.4926823160681442,-0.9792757719223342,-0.9803329823741211,0.060225695892678545,-1.4926823160681437,1.0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
No,0,-1.2367242199587352,0.8504514541660894,-0.9233182141228573,-0.9268349356912162,0.14356150121254319,0.8504514541660894,0.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
No,1,-0.21871512695797646,0.720831288153132,0.05259483829239748,0.024096707967899728,0.9932890875990188,0.7208312881531324,0.0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
No,0,-0.2594354906780068,-1.477726143066649,-0.7817135856085994,-0.773560713622406,-0.24856322560503422,-1.4777261430666484,0.0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
No,1,0.26992923768238775,1.2127232002023045,0.7360496330014318,0.7370801679284321,0.0036763994256291165,1.2127232002023045,0.0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
Yes,0,-0.30015585439803716,0.9950277931805424,0.03539920218754826,0.03882357430611581,-0.08263568465566172,0.9950277931805425,1.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Yes,0,-1.2774445836787656,0.20401242110146783,-0.9761191917387739,-0.9753209903819546,-0.002276158097219693,0.2040124211014683,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yes,0,-0.4223169455581282,-0.3510277769540174,-0.498526402567381,-0.480083191332198,-0.5930674922398305,-0.35102777695401693,1.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
No,0,1.6137012404433893,1.6663937812476561,2.743700851707633,2.6465166413846077,3.329667915316639,1.6663937812476561,0.0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
No,0,-0.3408762181180675,-1.502653098069141,-0.7998363291799486,-0.7994376061987019,0.012605235709898105,-1.5026530980691402,0.0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
No,0,-0.5444780367182193,0.7341256641544608,-0.31676919115874497,-0.27794756715473384,-1.27835567705764,0.7341256641544611,0.0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
No,0,1.5729808767233588,-1.3098846460498705,-0.19176420109230033,-0.21184226308184173,0.7075663265023369,-1.3098846460498699,0.0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
No,1,0.025607055362205634,1.5002140812310438,0.6237151116438231,0.5948676550581921,1.0096586207868412,1.500214081231044,0.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
No,0,-1.1960038562387048,-1.4893587220678117,-0.9818142804615609,-0.9802005068148569,-0.0298067366403891,-1.4893587220678113,0.0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
No,0,0.5956921474426305,0.7457582431556239,0.766202699649986,0.8031633927414471,-1.2069249867834848,0.7457582431556241,0.0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
No,0,1.2064976032430856,1.4420511862252297,2.0059661222337404,1.9543318442285715,1.7886995865895006,1.4420511862252294,0.0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
No,0,1.5729808767233588,1.7129240972523074,2.6610779172526255,2.6396720708226176,0.7752766683247294,1.7129240972523074,0.0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
No,1,-1.0331224013585834,0.8055829351616043,-0.7401261935398757,-0.7315218028158641,-0.2634446194121512,0.8055829351616045,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
No,0,-0.21871512695797646,0.32033821111309646,-0.13666752879743083,-0.11957303605424774,-0.5447029623666982,0.3203382111130965,0.0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
No,0,-1.2367242199587352,-1.4860351280674797,-0.9925422382882063,-0.9889218144664242,-0.09751707846277899,-1.486035128067479,0.0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
No,0,-0.30015585439803716,-0.9874960280176428,-0.634612534257233,-0.6196903515369065,-0.4755044811635902,-0.9874960280176424,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
No,1,-0.0965540357978854,0.3319707901142591,-0.07532391809733362,-0.016374575387347923,-1.954715025591183,0.3319707901142594,0.0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
Yes,1,1.0436161483629645,1.3539759452164248,1.73218245778131,1.6954304429063494,1.2849644062185428,1.353975945216425,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
Yes,0,-0.9109613101984924,0.6809481601491449,-0.6298224790136486,-0.6301779999786646,0.03939174456271183,0.6809481601491453,1.0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
No,0,-0.9516816739185228,0.3469269631157543,-0.7275881687548253,-0.7077645191877973,-0.6414320221129661,0.34692696311575466,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
